Roque,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04698272,-0.004719439999999998,-0.004719430000000004
Rowing,0,5,0,1,-2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8350180799999993,0.38978973999999944,0.3897897400000012
Rugby,0,1,-1,0,1,-1,1,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.44932101,0.013585110000000067,0.013585099999999906
Sailing,0,13,-13,0,4,0,10,-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.44407393000000006,0.22817730999999952,0.2281773100000013
Shooting,0,3,-8,16,-1,3,3,-11,-10.0,2.0,1.0,1.0,3.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.1098111700000004,0.2163224899999996,0.21632248000000054
Skateboarding,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-3.05979912,0.040626759999999984,0.040626760000000095
Skating,0,0,0,0,4,-4,3,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23965448,-0.02772197999999998,-0.02772197000000004
Sport Climbing,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.2892728,0.030802200000000002,0.03080218999999995
Squash,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surfing,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.52989956,0.020313379999999992,0.020313380000000048
Table Tennis,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9561912399999999,0.16014998999999985,0.1601499999999998
Taekwondo,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1993089599999998,0.23788937999999948,0.23788938000000037
