NOC,Sport,Year,Athletes
ALG,Artistic Gymnastics,2032,6.0
ALG,Artistic Gymnastics,2036,6.0
ALG,Athletics,1972,6.0
ALG,Athletics,1980,13.0
ALG,Athletics,1984,9.0
ALG,Athletics,1988,15.0
ALG,Athletics,1992,9.0
ALG,Athletics,1996,8.0
ALG,Athletics,2000,23.0
ALG,Athletics,2004,21.0
ALG,Athletics,2008,12.0
ALG,Athletics,2012,7.0
ALG,Athletics,2016,16.0
ALG,Athletics,2020,5.0
ALG,Athletics,2024,8.0
ALG,Athletics,2028,11.717442778216258
ALG,Athletics,2032,11.72099447513812
ALG,Athletics,2036,11.724546172059982
ALG,Badminton,2008,1.0
ALG,Badminton,2024,2.0
ALG,Badminton,2028,2.25
ALG,Badminton,2032,2.5
ALG,Badminton,2036,2.75
ALG,Boxing,1968,2.0
ALG,Boxing,1972,1.0
ALG,Boxing,1980,2.0
ALG,Boxing,1984,7.0
ALG,Boxing,1988,6.0
ALG,Boxing,1992,8.0
ALG,Boxing,1996,6.0
ALG,Boxing,2000,7.0
ALG,Boxing,2004,7.0
ALG,Boxing,2008,7.0
ALG,Boxing,2012,8.0
ALG,Boxing,2016,8.0
ALG,Boxing,2020,8.0
ALG,Boxing,2024,5.0
ALG,Boxing,2028,8.836671368124115
ALG,Boxing,2032,9.22651622002823
ALG,Boxing,2036,9.616361071932317
ALG,Canoe Slalom,2024,2.0
ALG,Canoe Slalom,2028,2.0
ALG,Canoe Slalom,2032,2.0
ALG,Canoe Slalom,2036,2.0
ALG,Canoe Sprint,2020,2.0
ALG,Canoe Sprint,2028,2.0
ALG,Canoe Sprint,2032,2.0
ALG,Canoe Sprint,2036,2.0
ALG,Cycling,1988,2.0
ALG,Cycling,2008,1.0
ALG,Cycling,2012,1.0
ALG,Cycling,2016,2.0
ALG,Cycling,2028,1.1206896551724128
ALG,Cycling,2032,1.051724137931032
ALG,Cycling,2036,0.9827586206896513
ALG,Cycling Road,2020,3.0
ALG,Cycling Road,2024,2.0
ALG,Cycling Road,2028,1.0
ALG,Cycling Road,2032,0.0
ALG,Cycling Road,2036,-1.0
ALG,Fencing,1980,1.0
ALG,Fencing,1996,2.0
ALG,Fencing,2000,2.0
ALG,Fencing,2004,10.0
ALG,Fencing,2008,2.0
ALG,Fencing,2012,2.0
ALG,Fencing,2016,2.0
ALG,Fencing,2020,4.0
ALG,Fencing,2024,8.0
ALG,Fencing,2028,5.637681159420254
ALG,Fencing,2032,6.007246376811565
ALG,Fencing,2036,6.376811594202877
ALG,Football,1980,14.0
ALG,Football,2016,18.0
ALG,Football,2028,19.333333333333314
ALG,Football,2032,19.77777777777777
ALG,Football,2036,20.2222222222222
ALG,Gymnastics,1964,7.0
ALG,Gymnastics,1968,7.0
ALG,Gymnastics,2016,10.0
ALG,Gymnastics,2028,10.707006369426736
ALG,Gymnastics,2032,10.94585987261145
ALG,Gymnastics,2036,11.184713375796164
ALG,Handball,1980,14.0
ALG,Handball,1984,15.0
ALG,Handball,1988,14.0
ALG,Handball,1996,16.0
ALG,Handball,2028,19.14285714285714
ALG,Handball,2032,19.571428571428555
ALG,Handball,2036,20.0
ALG,Judo,1980,3.0
ALG,Judo,1988,5.0
ALG,Judo,1992,3.0
ALG,Judo,1996,6.0
ALG,Judo,2000,7.0
ALG,Judo,2004,11.0
ALG,Judo,2008,10.0
ALG,Judo,2012,2.0
ALG,Judo,2016,5.0
ALG,Judo,2020,2.0
ALG,Judo,2024,3.0
ALG,Judo,2028,4.737593984962409
ALG,Judo,2032,4.664661654135337
ALG,Judo,2036,4.591729323308272
ALG,Karate,2020,1.0
ALG,Karate,2028,1.0
ALG,Karate,2032,1.0
ALG,Karate,2036,1.0
ALG,Marathon Swimming,2020,1.0
ALG,Marathon Swimming,2028,1.0
ALG,Marathon Swimming,2032,1.0
ALG,Marathon Swimming,2036,1.0
ALG,Rowing,1996,1.0
ALG,Rowing,2000,2.0
ALG,Rowing,2004,1.0
ALG,Rowing,2008,3.0
ALG,Rowing,2012,1.0
ALG,Rowing,2016,2.0
ALG,Rowing,2020,2.0
ALG,Rowing,2024,2.0
ALG,Rowing,2028,2.1785714285714306
ALG,Rowing,2032,2.2738095238095255
ALG,Rowing,2036,2.3690476190476204
ALG,Sailing,2016,3.0
ALG,Sailing,2020,2.0
ALG,Sailing,2024,1.0
ALG,Sailing,2028,0.0
ALG,Sailing,2032,-1.0
ALG,Sailing,2036,-2.0
ALG,Shooting,2012,1.0
ALG,Shooting,2016,1.0
ALG,Shooting,2020,1.0
ALG,Shooting,2024,3.0
ALG,Shooting,2028,3.0
ALG,Shooting,2032,3.6000000000000227
ALG,Shooting,2036,4.199999999999989
ALG,Swimming,1980,10.0
ALG,Swimming,1992,2.0
ALG,Swimming,1996,3.0
ALG,Swimming,2000,4.0
ALG,Swimming,2004,10.0
ALG,Swimming,2008,6.0
ALG,Swimming,2012,1.0
ALG,Swimming,2016,2.0
ALG,Swimming,2020,4.0
ALG,Swimming,2024,2.0
ALG,Swimming,2028,1.7060518731988452
ALG,Swimming,2032,1.2334293948127026
ALG,Swimming,2036,0.7608069164265316
ALG,Table Tennis,2000,2.0
ALG,Table Tennis,2004,7.0
ALG,Table Tennis,2008,1.0
ALG,Table Tennis,2020,1.0
ALG,Table Tennis,2024,2.0
ALG,Table Tennis,2028,0.9701492537313641
ALG,Table Tennis,2032,0.5820895522388128
ALG,Table Tennis,2036,0.19402985074628987
ALG,Taekwondo,2012,1.0
ALG,Taekwondo,2028,1.0
ALG,Taekwondo,2032,1.0
ALG,Taekwondo,2036,1.0
ALG,Tennis,1988,1.0
ALG,Tennis,2004,1.0
ALG,Tennis,2028,1.0
ALG,Tennis,2032,1.0
ALG,Tennis,2036,1.0
ALG,Trampolining,2000,1.0
ALG,Trampolining,2028,1.0
ALG,Trampolining,2032,1.0
ALG,Trampolining,2036,1.0
ALG,Volleyball,1992,10.0
ALG,Volleyball,2008,10.0
ALG,Volleyball,2012,11.0
ALG,Volleyball,2028,11.190476190476197
ALG,Volleyball,2032,11.333333333333336
ALG,Volleyball,2036,11.476190476190474
ALG,Weightlifting,1980,3.0
ALG,Weightlifting,1984,2.0
ALG,Weightlifting,1988,2.0
ALG,Weightlifting,1992,2.0
ALG,Weightlifting,1996,3.0
ALG,Weightlifting,2000,1.0
ALG,Weightlifting,2004,2.0
ALG,Weightlifting,2008,1.0
ALG,Weightlifting,2012,1.0
ALG,Weightlifting,2016,2.0
ALG,Weightlifting,2020,1.0
ALG,Weightlifting,2024,1.0
ALG,Weightlifting,2028,0.818181818181813
ALG,Weightlifting,2032,0.6748251748251732
ALG,Weightlifting,2036,0.5314685314685335
ALG,Wrestling,1980,3.0
ALG,Wrestling,1992,2.0
ALG,Wrestling,1996,2.0
ALG,Wrestling,2000,2.0
ALG,Wrestling,2004,1.0
ALG,Wrestling,2008,3.0
ALG,Wrestling,2012,3.0
ALG,Wrestling,2016,3.0
ALG,Wrestling,2020,8.0
ALG,Wrestling,2024,8.0
ALG,Wrestling,2028,6.210374639769469
ALG,Wrestling,2032,6.685878962536037
ALG,Wrestling,2036,7.161383285302605
AND,Athletics,1988,2.0
AND,Athletics,1992,1.0
AND,Athletics,1996,1.0
AND,Athletics,2000,2.0
AND,Athletics,2004,2.0
AND,Athletics,2008,2.0
AND,Athletics,2012,2.0
AND,Athletics,2016,1.0
AND,Athletics,2020,1.0
AND,Athletics,2024,1.0
AND,Athletics,2028,1.1999999999999993
AND,Athletics,2032,1.1454545454545446
AND,Athletics,2036,1.09090909090909
AND,Boxing,1976,1.0
AND,Boxing,2028,1.0
AND,Boxing,2032,1.0
AND,Boxing,2036,1.0
AND,Canoe Slalom,2020,2.0
AND,Canoe Slalom,2024,3.0
AND,Canoe Slalom,2028,4.0
AND,Canoe Slalom,2032,5.0
AND,Canoe Slalom,2036,6.0
AND,Canoeing,2008,1.0
AND,Canoeing,2028,1.0
AND,Canoeing,2032,1.0
AND,Canoeing,2036,1.0
AND,Cycling,1988,2.0
AND,Cycling,1992,3.0
AND,Cycling,2028,12.0
AND,Cycling,2032,13.0
AND,Cycling,2036,14.0
AND,Judo,1992,1.0
AND,Judo,1996,1.0
AND,Judo,2004,1.0
AND,Judo,2008,1.0
AND,Judo,2012,1.0
AND,Judo,2016,1.0
AND,Judo,2028,1.0
AND,Judo,2032,1.0
AND,Judo,2036,1.0
AND,Sailing,1992,2.0
AND,Sailing,1996,3.0
AND,Sailing,2028,11.0
AND,Sailing,2032,12.0
AND,Sailing,2036,13.0
AND,Shooting,1976,2.0
AND,Shooting,1980,2.0
AND,Shooting,1984,2.0
AND,Shooting,1992,1.0
AND,Shooting,1996,1.0
AND,Shooting,2000,1.0
AND,Shooting,2004,1.0
AND,Shooting,2012,1.0
AND,Shooting,2016,1.0
AND,Shooting,2028,0.3566513761467931
AND,Shooting,2032,0.23623853211009305
AND,Shooting,2036,0.1158256880734001
AND,Swimming,1996,2.0
AND,Swimming,2000,2.0
AND,Swimming,2004,2.0
AND,Swimming,2008,1.0
AND,Swimming,2012,2.0
AND,Swimming,2016,1.0
AND,Swimming,2028,0.7238095238095354
AND,Swimming,2032,0.5523809523809575
AND,Swimming,2036,0.3809523809523938
ANG,Athletics,1980,3.0
ANG,Athletics,1988,8.0
ANG,Athletics,1992,7.0
ANG,Athletics,1996,3.0
ANG,Athletics,2000,2.0
ANG,Athletics,2004,1.0
ANG,Athletics,2008,1.0
ANG,Athletics,2012,2.0
ANG,Athletics,2016,2.0
ANG,Athletics,2020,1.0
ANG,Athletics,2024,1.0
ANG,Athletics,2028,-0.012030075187936973
ANG,Athletics,2032,-0.47669172932327797
ANG,Athletics,2036,-0.941353383458619
ANG,Basketball,1992,12.0
ANG,Basketball,1996,11.0
ANG,Basketball,2000,12.0
ANG,Basketball,2004,12.0
ANG,Basketball,2008,12.0
ANG,Basketball,2012,12.0
ANG,Basketball,2028,12.390476190476193
ANG,Basketball,2032,12.476190476190482
ANG,Basketball,2036,12.561904761904763
ANG,Beach Volleyball,2008,2.0
ANG,Beach Volleyball,2028,2.0
ANG,Beach Volleyball,2032,2.0
ANG,Beach Volleyball,2036,2.0
ANG,Boxing,1980,3.0
ANG,Boxing,1988,3.0
ANG,Boxing,1992,1.0
ANG,Boxing,2028,-3.571428571428612
ANG,Boxing,2032,-4.142857142857167
ANG,Boxing,2036,-4.714285714285722
ANG,Canoe Sprint,2024,3.0
ANG,Canoe Sprint,2028,3.0
ANG,Canoe Sprint,2032,3.0
ANG,Canoe Sprint,2036,3.0
ANG,Canoeing,2008,2.0
ANG,Canoeing,2012,4.0
ANG,Canoeing,2028,12.0
ANG,Canoeing,2032,14.0
ANG,Canoeing,2036,16.0
ANG,Handball,1996,13.0
ANG,Handball,2000,13.0
ANG,Handball,2004,15.0
ANG,Handball,2008,14.0
ANG,Handball,2012,14.0
ANG,Handball,2016,15.0
ANG,Handball,2020,14.0
ANG,Handball,2024,15.0
ANG,Handball,2028,15.142857142857139
ANG,Handball,2032,15.36904761904762
ANG,Handball,2036,15.595238095238088
ANG,Judo,1988,7.0
ANG,Judo,1992,4.0
ANG,Judo,2004,1.0
ANG,Judo,2012,1.0
ANG,Judo,2016,1.0
ANG,Judo,2020,1.0
ANG,Judo,2024,1.0
ANG,Judo,2028,-0.6309523809523512
ANG,Judo,2032,-1.2142857142857224
ANG,Judo,2036,-1.7976190476190368
ANG,Rowing,2016,2.0
ANG,Rowing,2024,1.0
ANG,Rowing,2028,0.5
ANG,Rowing,2032,0.0
ANG,Rowing,2036,-0.5
ANG,Sailing,1992,3.0
ANG,Sailing,2016,3.0
ANG,Sailing,2020,2.0
ANG,Sailing,2024,3.0
ANG,Sailing,2028,2.580645161290324
ANG,Sailing,2032,2.5354838709677416
ANG,Sailing,2036,2.490322580645163
ANG,Shooting,1996,1.0
ANG,Shooting,2000,1.0
ANG,Shooting,2016,1.0
ANG,Shooting,2028,1.0
ANG,Shooting,2032,1.0
ANG,Shooting,2036,1.0
ANG,Swimming,1980,11.0
ANG,Swimming,1988,15.0
ANG,Swimming,1992,6.0
ANG,Swimming,1996,2.0
ANG,Swimming,2000,2.0
ANG,Swimming,2004,1.0
ANG,Swimming,2008,2.0
ANG,Swimming,2012,2.0
ANG,Swimming,2016,2.0
ANG,Swimming,2020,2.0
ANG,Swimming,2024,2.0
ANG,Swimming,2028,-1.5571428571428783
ANG,Swimming,2032,-2.5142857142857338
ANG,Swimming,2036,-3.4714285714285893
ANT,Athletics,1976,14.0
ANT,Athletics,1984,22.0
ANT,Athletics,1988,19.0
ANT,Athletics,1992,7.0
ANT,Athletics,1996,14.0
ANT,Athletics,2000,3.0
ANT,Athletics,2004,3.0
ANT,Athletics,2008,4.0
ANT,Athletics,2012,3.0
